NAMES                IMAGE                               STATUS
mesas-beta-app       mesas-beta-mesas-beta-app           Up 12 minutes (healthy)
mesas-beta-api       mesas-beta-mesas-beta-api           Up 12 minutes (healthy)
mesas-beta-db        postgres:16-alpine                  Up 12 minutes (healthy)
site-prod-app        site-site-prod-app                  Up 17 hours (healthy)
site-prod-db         postgres:16-alpine                  Up 17 hours (healthy)
mesas-cron           mesas-mesas-cron                    Up 17 hours
mesas-app            mesas-mesas-app                     Up 17 hours (healthy)
mesas-api            mesas-mesas-api                     Up 17 hours (healthy)
mesas-db             postgres:16-alpine                  Up 17 hours (healthy)
glossario-app        glossario-glossario-app             Up 17 hours (healthy)
glossario-api        glossario-glossario-api             Up 17 hours (healthy)
glossario-db         postgres:16-alpine                  Up 17 hours (healthy)
glossario-beta-app   glossario-beta-glossario-beta-app   Up 17 hours (healthy)
glossario-beta-api   glossario-beta-glossario-beta-api   Up 17 hours (healthy)
glossario-beta-db    postgres:16-alpine                  Up 17 hours (healthy)
accounts-api         accounts-accounts-api               Up 17 hours (healthy)
accounts-db          postgres:16-alpine                  Up 17 hours (healthy)
cloudflared          cloudflare/cloudflared:latest       Up 17 hours
